Code	Clade	Order	Family	Species	Tissue Type	Include
ISGT	Green Algae	Chaetophorales	Chaetophoraceae	Uronema sp.	algal cells	F
IJMT	Green Algae	Chaetophorales	Aphanochaetaceae	Aphanochaete repens	algal cells	F
MWXT	Green Algae	Charales	Characeae	Chara vulgaris	"clonal culture, vegetative"	F
MWAN	Green Algae	Chlorellales	Chlorellaceae	Chlorella minutissima	cells grown on F/2 media	F
PFUD	Green Algae	Chlorellales	Chlorellaceae	Geminella sp.	algal cells	F
MFYC	Green Algae	Chlorellales	Chlorellaceae	Nannochloris atomus	algal cells	F
AKCR	Green Algae	Chlorellales	Chlorellaceae	Parachlorella kessleri	algal cells	F
BILC	Green Algae	Chlorellales	Chlorellaceae	Prototheca wickerhamii	algal cells	F
ZNUM	Green Algae	Chlorellales	Leptosiraceae	Leptosira obovata	algal cells	F
MNCB	Green Algae	Chlorellales	Oocystaceae	Eremosphaera viridis	algal cells	F
GXBM	Green Algae	Chlamydomonadales	Coccomyxaceae	Coccomyxa pringsheimii	algal cells	F
BZSH	Green Algae	Chlamydomonadales	Golenkiniaceae	Golenkinia longispicula	algal cells	F
NLOM	Green Algae	Chlamydomonadales	Hydrodictyaceae	Pediastrum duplex CCAC 0012	algal cells	F
XKWQ	Green Algae	Chlamydomonadales	Hydrodictyaceae	Pediastrum duplex CCAC 0012	algal cells	F
XTON	Green Algae	Chlamydomonadales	Hydrodictyaceae	Pediastrum duplex CCAC 0147	algal cells	F
PZIF	Green Algae	Chlamydomonadales	Scenedesmaceae	Scenedesmus dimorphus	cells grown on 3N-BBM-V media	F
ALZF	Green Algae	Chlamydomonadales	Chlorocystidaceae	Halochlorococcum marinum	algal cells	F
FMVB	Green Algae	Chlorodendrales	Chlorodendraceae	Scherffelia dubia	algal cells	F
HVNO	Green Algae	Chlorodendrales	Chlorodendraceae	Tetraselmis chui	cells grown on F/2 media	F
DUMA	Green Algae	Chlorodendrales	Chlorodendraceae	Tetraselmis cordiformis	algal cells	F
HHXJ	Green Algae	Chlorodendrales	Chlorodendraceae	Tetraselmis striata	algal cells	F
USIX	Green Algae	Sphaeropleales	Chlorosarcinaceae	Neochlorosarcina sp.	"clonal culture, vegetative"	F
VBLH	Green Algae	Cladophorales	Cladophoraceae	Cladophora glomerata	algal cells	F
QPDY	Green Algae	Coleochaetales	Coleochaetaceae	Coleochaete irregularis	algal cells	F
VQBJ	Green Algae	Coleochaetales	Coleochaetaceae	Coleochaete scutata	"clonal, axenic culture, vegetative"	F
DRGY	Green Algae	Coleochaetales	Chaetosphaeridiaceae	Chaetosphaeridium globosum	"clonal, axenic culture, vegetative"	F
XOAL	Green Algae	Dolichomastigales	Dolichomastigaceae	Dolichomastix tenuilepis	algal cells	F
AYPS	Green Algae	incertae sedis	incertae sedis	unidentified species	algal cells	F
TGNL	Green Algae	incertae sedis	incertae sedis	Picocystis salinarum	algal cells	F
FQLP	Green Algae	Klebsormidiales	Klebsormidiaceae	Klebsormidium subtile	"clonal, axenic culture, vegetative"	F
AZZW	Green Algae	Klebsormidiales	Klebsormidiaceae	Chlorokybus atmophyticus	"clonal culture, vegetative"	F
BFIK	Green Algae	Klebsormidiales	Klebsormidiaceae	Entransia fimbriata	algal cells	F
MCPK	Green Algae	Mamiellales	Mamiellaceae	Bathycoccus prasinos	algal cells	F
QXSZ	Green Algae	Mamiellales	Mamiellaceae	Mantoniella squamata	algal cells	F
BTFM	Green Algae	Mamiellales	Monomasticaceae	Monomastix opisthostigma	algal cells	F
KYIO	Green Algae	Mesostigmatales	Mesostigmataceae	Mesostigma viride	"clonal, axenic culture, vegetative"	F
FOYQ	Green Algae	Sphaeropleales	Microsporaceae	Microspora cf. tumidula	algal cells	F
ZDOF	Green Algae	Microthamniales	Microthamniaceae	Microthamnion kuetzingianum	algal cells	F
DXNY	Green Algae	Microthamniales	Microthamniaceae	Microthamnion kuetzingianum	algal cells	F
MMKU	Green Algae	Nephroselmidales	Nephroselmidaceae	Nephroselmis olivacea	algal cells	F
ISIM	Green Algae	Nephroselmidales	Nephroselmidaceae	Nephroselmis pyriformis	algal cells	F
DVYE	Green Algae	Oedogoniales	Oedogoniaceae	Oedogonium cardiacum	algal cells	F
SDPC	Green Algae	Oedogoniales	Oedogoniaceae	Oedogonium foveolatum	algal cells	F
PZBH	Green Algae	Oltmannsiellopsidaceae	Oltmannsiellopsidaceae	Oltmannsiellopsis viridis	algal cells	F
QJYX	Green Algae	Oltmannsiellopsidaceae	Oltmannsiellopsidaceae	Oltmannsiellopsis viridis	algal cells	F
RRSV	Green Algae	Pedinomonadales	Pedinomonadaceae	Pedinomonas minor	algal cells	F
PUAN	Green Algae	Pedinomonadales	Pedinomonadaceae	Pedinomonas tuberculata	algal cells	F
PRIQ	Green Algae	Chlamydomonadales	Chlorococcaceae	Chlorococcum oleofaciens	algal cells	F
XMCL	Green Algae	Prasinococcales	Prasinococcaceae	Prasinococcus capsulatus	algal cells	F
XJGM	Green Algae	Prasinococcales	Prasinococcaceae	coccoid-prasinophyte	algal cells	F
HYHN	Green Algae	Prasinococcales	Prasinococcaceae	Prasinoderma coloniale	algal cells	F
WCLV	Green Algae	Prasiolales	Prasiolaceae	Prasiola crispa	algal cells	F
WXRI	Green Algae	Prasiolales	Prasiolaceae	Stichococcus bacillaris	algal cells	F
MXEZ	Green Algae	Pseudoscourfieldiales	Pycnococcaceae	Pycnococcus provasolii	algal cells	F
JMTE	Green Algae	Pseudoscourfieldiales	Pycnococcaceae	Pseudoscourfieldia marina	algal cells	F
TNAW	Green Algae	Pyramimonadales	Pyramimonadaceae	Pyramimonas parkeae	algal cells	F
XIVI	Green Algae	Pyramimonadales	Pyramimonadaceae	Cymbomonas sp.	algal cells	F
EGNB	Green Algae	Scourfieldiales	Scourfieldiaceae	Scourfieldia sp.	algal cells	F
KSFK	Green Algae	Sphaeropleales	Chlorosarcinaceae	Chlorosarcinopsis halophila	algal cells	F
GJIY	Green Algae	Sphaeropleales	Neochloridaceae	Neochloris sp.	algal cells	F
OTQG	Green Algae	Sphaeropleales	Ankistrodesmaceae	Ankistrodesmus sp.	algal cells	F
NKXU	Green Algae	Trebouxiales	Trebouxiaceae	Trebouxia arboricola	algal cells	F
ETGN	Green Algae	Trebouxiales	Botryococcaceae	Botryococcus braunii	cells grown on 3N-BBM-V media	F
VJDZ	Green Algae	Trebouxiales	Botryococcaceae	Botryococcus sudeticus	algal cells	F
QYXY	Green Algae	Trebouxiales	Botryococcaceae	Botryococcus terribilis	algal cells	F
NATT	Green Algae	Trentepohliales	Trentepohliaceae	Trentepohlia annulata	algal cells	F
YDCQ	Green Algae	Trentepohliales	Trentepohliaceae	Cephaleuros virescens	algal cells	F
CBNG	Green Algae	Ulotrichales	Borodinellaceae	Planophila laetevirens	algal cells	F
LETF	Green Algae	Ulotrichales	Borodinellaceae	Planophila terrestris	algal cells	F
DZPJ	Green Algae	Ulotrichales	Cylindrocapsaceae	Cylindrocapsa geminella	algal cells	F
JIWJ	Green Algae	Ulotrichales	Ulotrichaceae	Acrosiphonia sp.	algal cells	F
KADG	Green Algae	Ulotrichales	Ulotrichaceae	Ignatius tetrasporus	algal cells	F
FPCO	Green Algae	Ulotrichales	Ulotrichaceae	Interfilum paradoxum	algal cells	F
CQQP	Green Algae	Ulvales	Ulvaceae	Ochlochaete sp.	algal cells	F
OAEZ	Green Algae	Ulvales	Ulvaceae	Percursaria percursa	algal cells	F
LSHT	Green Algae	Ulvales	Bolbocoleonaceae	Bolbocoleon piliferum	algal cells	F
OQON	Green Algae	Ulvales	Ulvellaceae	Entocladia endozoica	algal cells	F
KUJU	Green Algae	Chlamydomonadales	Goniaceae	Gonium pectorale	algal cells	F
EEJO	Green Algae	Chlamydomonadales	incertae sedis	Neochloris oleoabundans	cells grown on 3N-BBM-V media	F
JWGT	Green Algae	Chlamydomonadales	Volvocaceae	Volvox aureus	algal cells	F
WRSL	Green Algae	Chlamydomonadales	Volvocaceae	Volvox aureus	algal cells	F
ISPU	Green Algae	Chlamydomonadales	Volvocaceae	Volvox globator	algal cells	F
RNAT	Green Algae	Chlamydomonadales	Volvocaceae	Eudorina elegans	algal cells	F
RYJX	Green Algae	Chlamydomonadales	Volvocaceae	Pandorina morum	algal cells	F
MNPL	Green Algae	Chlamydomonadales	Asteromonadaceae	Asteromonas gracilis	algal cells	F
NTLE	Green Algae	Chlamydomonadales	Asteromonadaceae	Asteromonas gracilis	algal cells	F
VIAU	Green Algae	Chlamydomonadales	Carteriaceae	Carteria crucifera	algal cells	F
RUIF	Green Algae	Chlamydomonadales	Carteriaceae	Carteria obtusa	algal cells	F
OVHR	Green Algae	Chlamydomonadales	Chlamydomonadaceae	Chlamydomonas bilatus	algal cells	F
MULF	Green Algae	Chlamydomonadales	Chlamydomonadaceae	Chlamydomonas bilatus	algal cells	F
BCYF	Green Algae	Chlamydomonadales	Chlamydomonadaceae	Chlamydomonas cribrum	algal cells	F
JRGZ	Green Algae	Chlamydomonadales	Chlamydomonadaceae	Chlamydomonas moewusii	algal cells	F
VALZ	Green Algae	Chlamydomonadales	Chlamydomonadaceae	Chlamydomonas noctigama	algal cells	F
TSBQ	Green Algae	Chlamydomonadales	Chlamydomonadaceae	Chlamydomonas sp.	algal cells	F
AOUJ	Green Algae	Chlamydomonadales	Chlamydomonadaceae	Chlamydomonas sp.	algal cells	F
GUBD	Green Algae	Chlamydomonadales	Chlamydomonadaceae	Brachiomonas submarina	algal cells	F
IHOI	Green Algae	Chlamydomonadales	Chlamydomonadaceae	Chloromonas oogama	algal cells	F
QRTH	Green Algae	Chlamydomonadales	Chlamydomonadaceae	Chlorococcum microstigmaticum	algal cells	F
LBRP	Green Algae	Chlamydomonadales	Chlamydomonadaceae	Chloromonas reticulata	algal cells	F
GDUD	Green Algae	Chlamydomonadales	Chlamydomonadaceae	Chloromonas reticulata	algal cells	F
AJUW	Green Algae	Chlamydomonadales	Chlamydomonadaceae	Chloromonas rosae	algal cells	F
GFUR	Green Algae	Chlamydomonadales	Chlamydomonadaceae	Chloromonas subdivisa	algal cells	F
UTRE	Green Algae	Chlamydomonadales	Chlamydomonadaceae	Chloromonas tughillensis	algal cells	F
IRYH	Green Algae	Chlamydomonadales	Chlamydomonadaceae	Heterochlamydomonas inaequalis	algal cells	F
OFUE	Green Algae	Chlamydomonadales	Chlamydomonadaceae	Lobochlamys segnis	algal cells	F
JKKI	Green Algae	Chlamydomonadales	Chlamydomonadaceae	Lobomonas rostrata	algal cells	F
XDLL	Green Algae	Chlamydomonadales	Chlamydomonadaceae	Oogamochlamys gigantea	algal cells	F
MXDS	Green Algae	Chlamydomonadales	Chlamydomonadaceae	Spermatozopsis exsultans	algal cells	F
ENAU	Green Algae	Chlamydomonadales	Chlamydomonadaceae	Spermatozopsis similis	algal cells	F
QWRA	Green Algae	Chlamydomonadales	Chlamydomonadaceae	Vitreochlamys sp.	algal cells	F
WDWX	Green Algae	Chlamydomonadales	Dunaliellaceae	Dunaliella tertiolecta	algal cells	F
RHVC	Green Algae	Chlamydomonadales	Dunaliellaceae	Dunaliella salina	algal cells	F
SYJM	Green Algae	Chlamydomonadales	Dunaliellaceae	Dunaliella viridis dumsii	algal cells	F
UKUC	Green Algae	Chlamydomonadales	Dunaliellaceae	Dunaliella salina	algal cells	F
ZDIZ	Green Algae	Chlamydomonadales	Dunaliellaceae	Dunaliella tertiolecta	algal cells	F
FXHG	Green Algae	Chlamydomonadales	Dunaliellaceae	Hafniomonas reticulata	algal cells	F
ODXI	Green Algae	Chlamydomonadales	Haematococcaceae	Haematococcus pluvialis	algal cells (red)	F
AGIO	Green Algae	Chlamydomonadales	Haematococcaceae	Haematococcus pluvialis	algal cells	F
ZLQE	Green Algae	Chlamydomonadales	Haematococcaceae	Stephanosphaera pluvialis	algal cells	F
ZIVZ	Green Algae	Chlamydomonadales	Phacotaceae	Phacotus lenticularis	algal cells	F
LNIL	Green Algae	Chlamydomonadales	Phacotaceae	Pteromonas angulosa	algal cells	F
ACRY	Green Algae	Chlamydomonadales	Phacotaceae	Pteromonas sp.	algal cells	F
JOJQ	Green Algae	Zygnematales	Zygnemataceae	Cylindrocystis cushleckae	algal cells	F
ZRMT	Green Algae	Zygnematales	Zygnemataceae	Mougeotia sp.	algal cells	F
HAOX	Green Algae	Zygnematales	Zygnemataceae	Spirogyra sp.	"clonal culture, vegetative"	F
WGMD	Green Algae	Zygnematales	Zygnemataceae	Zygnema sp.	algal cells	F
MFZO	Green Algae	Zygnematales	Zygnemataceae	Zygnemopsis sp.	algal cells	F
DRFX	Green Algae	Zygnematales	Closteriaceae	Closterium lunula	algal cells	F
DFDS	Green Algae	Zygnematales	Desmidiaceae	Desmidium aptogonum	algal cells	F
QWFV	Green Algae	Zygnematales	Desmidiaceae	Bambusina borreri	algal cells	F
HIDG	Green Algae	Zygnematales	Desmidiaceae	Cosmarium broomei	"clonal, axenic culture, vegetative"	F
MNNM	Green Algae	Zygnematales	Desmidiaceae	Cosmarium granatum	algal cells	F
STKJ	Green Algae	Zygnematales	Desmidiaceae	Cosmarium ochthodes	algal cells	F
HJVM	Green Algae	Zygnematales	Desmidiaceae	Cosmarium ochthodes	algal cells	F
WDGV	Green Algae	Zygnematales	Desmidiaceae	Cosmarium subtumidum	algal cells	F
BHBK	Green Algae	Zygnematales	Desmidiaceae	Cosmarium tinctum	algal cells	F
RQFE	Green Algae	Zygnematales	Desmidiaceae	Cosmocladium cf. constrictum	algal cells	F
GYRP	Green Algae	Zygnematales	Desmidiaceae	Euastrum affine	algal cells	F
MCHJ	Green Algae	Zygnematales	Desmidiaceae	Micrasterias fimbriata	algal cells	F
GGWH	Green Algae	Zygnematales	Desmidiaceae	Onychonema laeve	algal cells	F
RPQV	Green Algae	Zygnematales	Desmidiaceae	Phymatodocis nordstedtiana	algal cells	F
MOYY	Green Algae	Zygnematales	Desmidiaceae	Pleurotaenium trabecula	algal cells	F
ISHC	Green Algae	Zygnematales	Desmidiaceae	Staurastrum sebaldi	algal cells	F
WCQU	Green Algae	Zygnematales	Desmidiaceae	Staurodesmus convergens	algal cells	F
RPRU	Green Algae	Zygnematales	Desmidiaceae	Staurodesmus omearii	algal cells	F
GBGT	Green Algae	Zygnematales	Desmidiaceae	Xanthidium antilopaeum	algal cells	F
WSJO	Green Algae	Zygnematales	Mesotaeniaceae	Mesotaenium braunii	algal cells	F
HKZW	Green Algae	Zygnematales	Mesotaeniaceae	Mesotaenium caldariorum	algal cells	F
WDCW	Green Algae	Zygnematales	Mesotaeniaceae	Mesotaenium endlicherianum	algal cells	F
NBYP	Green Algae	Zygnematales	Mesotaeniaceae	Mesotaenium kramstae	algal cells	F
YOXI	Green Algae	Zygnematales	Mesotaeniaceae	Cylindrocystis brebissonii	algal cells	F
RPGL	Green Algae	Zygnematales	Mesotaeniaceae	Cylindrocystis brebissonii	algal cells	F
VAZE	Green Algae	Zygnematales	Mesotaeniaceae	Cylindrocystis sp.	algal cells	F
FFGR	Green Algae	Zygnematales	Mesotaeniaceae	Netrium digitus	"clonal, axenic culture, vegetative"	F
KMNX	Green Algae	Zygnematales	Mesotaeniaceae	Nucleotaenium eifelense	algal cells	F
SNOX	Green Algae	Zygnematales	Mesotaeniaceae	Planotaenium ohtanii	algal cells	F
XRTZ	Green Algae	Zygnematales	Mesotaeniaceae	Roya obtusa	algal cells	F
NNHQ	Green Algae	Zygnematales	Mesotaeniaceae	Spirotaenia minuta	"clonal culture, vegetative"	F
TPHT	Green Algae	Zygnematales	Mesotaeniaceae	Spirotaenia sp.	algal cells	F
YSQT	Green Algae	Zygnematales	Peniaceae	Penium exiguum	algal cells	F
AEKF	Green Algae	Zygnematales	Peniaceae	Penium margaritaceum	algal cells	F
KEYW	Green Algae	Zygnematales	Gonatozygaceae	Gonatozygon kinahanii	algal cells	F
POOW	Glaucophyta (Algae)	Glaucocystales	Glaucocystaceae	Glaucocystis cf. nostochinearum	algal cells	F
QFND	Glaucophyta (Algae)	Glaucocystales	Glaucocystaceae	Cyanophora paradoxa CCAC 0074 (M0763)	algal cells	F
YTYU	Glaucophyta (Algae)	Glaucocystales	Glaucocystaceae	Cyanophora paradoxa CCAC 0091 (M0507/1)	algal cells	F
PQED	Glaucophyta (Algae)	Glaucocystales	Glaucocystaceae	Gloeochaete wittrockiana	algal cells	F
JKHA	Glaucophyta (Algae)	incertae sedis	incertae sedis	Cyanoptyche gloeocystis	algal cells	F
OBUY	Red Algae	Porphyridiales	Porphyridiaceae	Porphyridium cruentum	cells grown on F/2 media	F
PVGP	Red Algae	Porphyridiales	Porphyridiaceae	Porphyridium purpureum	algal cells	F
RSOF	Red Algae	Glaucosphaerales	Glaucosphaeraceae	Glaucosphaera vacuolata	algal cells	F
JJZR	Red Algae	Rhodochaetales	Rhodochaetaceae	Rhodochaete parvula	algal cells	F
LLXJ	Red Algae	Stylonematales	Stylonemataceae	Chroodactylon ornatum	algal cells	F
ZULJ	Red Algae	Bangiales	Bangiaceae	Pyropia yezoensis	blades	F
VZWX	Red Algae	Ceramiales	Ceramiaceae	Ceramium kondoi	branches	F
YSBD	Red Algae	Ceramiales	Dasyaceae	Heterosiphonia pulchra	branches	F
XAXW	Red Algae	Ceramiales	Rhodomelaceae	Neosiphonia japonica	branches and blades	F
UYFR	Red Algae	Ceramiales	Rhodomelaceae	Symphyocladia latiuscula	branches and blades	F
IEHF	Red Algae	Gigartinales	Dumontiaceae	Dumontia simplex	branches	F
SBLT	Red Algae	Gigartinales	Endocladiaceae	Gloiopeltis furcata	branches and blades	F
UGPM	Red Algae	Gigartinales	Gigartinaceae	Chondrus crispus	blades	F
WEJN	Red Algae	Gigartinales	Gigartinaceae	Mazzaella japonica	blades	F
CKXF	Red Algae	Gigartinales	Phyllophoraceae	Ahnfeltiopsis flabelliformis	branches and blades	F
BWVJ	Red Algae	Gigartinales	Solieriaceae	Betaphycus philippinensis	branches	F
JEBK	Red Algae	Gigartinales	Solieriaceae	Eucheuma denticulatum	branches	F
IHJY	Red Algae	Gigartinales	Solieriaceae	Kappaphycus alvarezii	branches	F
FTRP	Red Algae	Gracilariales	Gracilariaceae	Gracilaria chouae	blades	F
VNAL	Red Algae	Gracilariales	Gracilariaceae	Gracilaria vermiculophylla	branches	F
LJPN	Red Algae	Gracilariales	Gracilariaceae	Gracilaria blodgettii	branches	F
IKWM	Red Algae	Gracilariales	Gracilariaceae	Gracilaria lemaneiformis	branches	F
ZJOJ	Red Algae	Halymeniales	Halymeniaceae	Grateloupia filicina	branches and blades	F
IKIZ	Red Algae	Halymeniales	Halymeniaceae	Grateloupia livida	blades	F
URSB	Red Algae	Halymeniales	Halymeniaceae	Grateloupia turuturu	blades	F
PYDB	Red Algae	Halymeniales	Halymeniaceae	Grateloupia catenata	branches and blades	F
PWKQ	Red Algae	Halymeniales	Halymeniaceae	Gracilaria sp.	branches and blades	F
RTLC	Red Algae	Rhodellales	Rhodellaceae	Rhodella violacea	algal cells	F
BAKF	Chromista (Algae)	Cryptomonadales	Cryptomonadaceae	Cryptomonas curvata	algal cells	F
ROZZ	Chromista (Algae)	Pyrenomonadales	Chroomonadaceae	Chroomonas sp.	algal cells	F
MJMQ	Chromista (Algae)	Pyrenomonadales	Chroomonadaceae	Hemiselmis virescens	algal cells	F
IRZA	Chromista (Algae)	Pyrenomonadales	Geminigeraceae	Proteomonas sulcata	algal cells	F
IAYV	Chromista (Algae)	Pyrenomonadales	Pyrenomonadaceae	Rhodomonas sp.	algal cells	F
BAJW	Chromista (Algae)	Isochrysidales	Isochrysidaceae	Isochrysis sp.	algal cells	F
APTP	Chromista (Algae)	Ishigeales	Ishigeaceae	Ishige okamurae	branches	F
LXRN	Chromista (Algae)	Prymnesiales	Prymnesiaceae	Prymnesium parvum	algal cells	F
NMAK	Chromista (Algae)	Pavlovales	Pavlovaceae	Pavlova lutheri	cells grown on F/2 media	F
RFAD	Chromista (Algae)	Pavlovales	Pavlovaceae	Pavlova lutheri CCAC 0028	algal cells	F
LLEN	Chromista (Algae)	Pavlovales	Pavlovaceae	Pavlova lutheri SAG 926-1	algal cells	F
RAPY	Chromista (Algae)	Laminariales	Laminariaceae	Saccharina sculpera	blades	F
OGZM	Chromista (Algae)	Laminariales	Laminariaceae	Saccharina japonica	blades	F
QDTV	Chromista (Algae)	Laminariales	Laminariaceae	Saccharina japonica	blades	F
FIDQ	Chromista (Algae)	Laminariales	Alariacea	Undaria pinnatifida	leaves	F
EBWI	Chromista (Algae)	Chromulinales	Chromulinaceae	Ochromonas sp.	algal cells	F
JQFK	Chromista (Algae)	Eustigmatales	Monodopsidaceae	Picochlorum atomus	cells grown on F/2 media	F
BOGT	Chromista (Algae)	Synurales	Mallomonadaceae	Mallomonas sp.	algal cells	F
VKVG	Chromista (Algae)	Synurales	Mallomonadaceae	Synura sp.	algal cells	F
DBYD	Chromista (Algae)	Synurales	Mallomonadaceae	Synura petersenii	algal cells	F
FSQE	Chromista (Algae)	Desmarestiales	Desmarestiaceae	Desmarestia viridis	branches and blades	F
LIRF	Chromista (Algae)	Dictyotales	Dictyotaceae	Dictyopteris undulata	blades	F
QLMZ	Chromista (Algae)	Ectocarpales	Scytosiphonaceae	Colpomenia sinuosa	blades	F
JCXF	Chromista (Algae)	Ectocarpales	Scytosiphonaceae	Scytosiphon lomentaria	blades	F
ASZK	Chromista (Algae)	Ectocarpales	Chordariacea	Punctaria latifolia	leaves	F
ULXR	Chromista (Algae)	Ectocarpales	Scytosiphonacea	Scytosiphon dotyi	leaves	F
VRGZ	Chromista (Algae)	Ectocarpales	Scytosiphonacea	Petalonia fascia	leaves	F
LDRY	Chromista (Algae)	Fucales	Sargassaceae	Sargassum fusiforme	branches and blades	F
VYER	Chromista (Algae)	Fucales	Sargassaceae	Sargassum hemiphyllum	branches and blades	F
FIKG	Chromista (Algae)	Fucales	Sargassaceae	Sargassum henslowianum	branches and blades	F
RWXW	Chromista (Algae)	Fucales	Sargassaceae	Sargassum horneri	branches and blades	F
FOMH	Chromista (Algae)	Fucales	Sargassaceae	Sargassum integerrimum	branches and blades	F
YRMA	Chromista (Algae)	Fucales	Sargassaceae	Sargassum thunbergii	branches and blades	F
HFIK	Chromista (Algae)	Fucales	Sargassaceae	Sargassum vachellianum	branches and blades	F
JGGD	Chromista (Algae)	Fucales	Sargassacea	Sargassum muticum	branches and leaves	F
TZJQ	Dinophyceae	Prorocentrales	Prorocentraceae	Prorocentrum micans	cells	F
UNBZ	Euglenozoa	Euglenales	Euglenacaea	Euglena sp.	cells	F
